"","Entrega de información en medio electrónico","Inexistencia de la información solicitada","Información parcialmente reservada o confidencial","La información está disponible públicamente","La solicitud no corresponde al marco de la Ley ","Negativa por ser reservada o confidencial","No es de competencia de la unidad de enlace","No se dará trámite a la solicitud","Notificación de cambio de tipo de solicitud","Notificación de disponibilidad de información","Notificación de envío","Notificación de pago","Notificación de prórroga","Notificación lugar y fecha de entrega","Requerimiento de información adicional","Respuesta a solicitud de información adicional","Respuesta del solicitante a la notificación de entrega de información con  costo","Respuesta del solicitante a la notificación de entrega de información sin costo","Sin respuesta","SOS"
"SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA",532,70,12,59,0,11,145,0,0,2,0,0,0,3,31,1,3,0,44,"SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA"
"SENADO DE LA REPÚBLICA",930,0,0,0,0,0,0,0,0,0,0,0,19,0,33,0,0,0,36,"SENADO DE LA REPÚBLICA"
"SINDICATO DE INVESTIGADORES Y PROFESORES DE EL COLEGIO DE LA FRONTERA NORTE",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SINDICATO DE INVESTIGADORES Y PROFESORES DE EL COLEGIO DE LA FRONTERA NORTE"
"SINDICATO DE TRABAJADORES DEL INSTITUTO MEXICANO DE LA JUVENTUD.",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"SINDICATO DE TRABAJADORES DEL INSTITUTO MEXICANO DE LA JUVENTUD."
"SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN)",1789,29,0,6,33,3,304,5,0,3,0,0,13,0,225,5,0,0,62,"SUPREMA CORTE DE JUSTICIA DE LA NACIÓN (SCJN)"
"TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACIÓN",334,21,0,0,0,0,0,2,0,0,0,0,1,0,41,1,0,0,18,"TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACIÓN"
"TRIBUNAL FEDERAL DE JUSTICIA ADMINISTRATIVA",610,3,0,25,1,21,61,3,0,0,0,0,6,0,40,1,0,0,41,"TRIBUNAL FEDERAL DE JUSTICIA ADMINISTRATIVA"
"UNIVERSIDAD AUTÓNOMA CHAPINGO",138,0,0,1,0,2,7,0,0,0,0,0,0,0,0,1,0,0,10,"UNIVERSIDAD AUTÓNOMA CHAPINGO"
"UNIVERSIDAD AUTÓNOMA METROPOLITANA",443,0,0,12,1,0,5,0,0,0,0,0,0,0,14,1,0,0,59,"UNIVERSIDAD AUTÓNOMA METROPOLITANA"
"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)",1553,1,0,86,0,47,79,0,1,0,0,0,32,0,85,5,0,0,116,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)"
